SAMPLEID,Ag109,Ag110m,Am0,Am241,Am242,Am242m,Am243,C14,Ce140,Ce142,Ce144,Cm0,Cm242,Cm243,Cm244,Cm245,Cm246,Cm247,Cs0,Cs133,Cs134,Cs135,Cs137,Eu0,Eu151,Eu152,Eu153,Eu154,Eu155,Gd0,Gd152,Gd154,Gd155,Gd156,Gd157,Gd158,Gd160,H3,I129,La139,Mo100,Mo95,Mo97,Mo98,Nb95,Nd0,Nd142,Nd143,Nd144,Nd145,Nd146,Nd148,Nd150,Np237,Pd105,Pd108,Pm147,Pr144,Pu0,Pu236,Pu238,Pu239,Pu240,Pu241,Pu242,Pu244,Rh103,Ru101,Ru103,Ru106,Sb125,Se79,Sm0,Sm147,Sm148,Sm149,Sm150,Sm151,Sm152,Sm154,Sn126,Sr90,Tc99,U0,U232,U233,U234,U235,U236,U238,Zr95,RTYPE,EU235,EPU,EPUFISS,EBUP
LEN-1|RG-221|5|14,0,0,0,1e-5,0,0,0.0095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149,0.394,0.611,0.335,0.306,0.169,0.0785,0.08,0,0,0,0,0,1e-7,0.0229,2.57,1.443,0.381,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-7,0,0.102,5.88,1.9,972.3,0,RBMK,1.8,0,0,15.59
MON-1|MTB099|A1|S1,0,0,0,0,0,0,0,0,0,0,0,0,0.01667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.784,2.723,0.9051,2.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301,0.06571,1.52,940.9,0,BWR,1.45,0,0,48
MON-1|MTB099|A1|S2,0,0,0,0,0,0,0,0,0,0,0,0,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.811,2.814,0.9473,2.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245,0.044,1.708,932.7,0,BWR,1.45,0,0,55
MON-1|MTB099|A1|S3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,2.922,1.038,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02756,0.06703,1.855,931.4,0,BWR,1.45,0,0,55.7
MON-1|MTB099|A1|S4,0,0,0,0,0,0,0,0,0,0,0,0,0.02358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.221,2.993,1.134,2.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02753,0.07871,1.833,929.4,0,BWR,1.45,0,0,57.3
MON-1|MTB099|A1|S5,0,0,0,0,0,0,0,0,0,0,0,0,0.02275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.519,2.898,1.178,2.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03649,0.1875,1.636,941.7,0,BWR,1.45,0,0,46.4
MON-1|MTB099|B1|S1,0,0,0,0,0,0,0,0,0,0,0,0,0.01446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.858,2.695,0.9182,2.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04807,0.2638,2.645,944.3,0,BWR,1.87,0,0,43.8
MON-1|MTB099|B1|S2,0,0,0,0,0,0,0,0,0,0,0,0,0.01808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.971,2.903,0.977,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04013,0.1591,2.395,934.7,0,BWR,1.87,0,0,52.6
MON-1|MTB099|B1|S3,0,0,0,0,0,0,0,0,0,0,0,0,0.02228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.044,2.864,1.039,2.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04277,0.218,2.572,936.8,0,BWR,1.87,0,0,50
MON-1|MTB099|B1|S4,0,0,0,0,0,0,0,0,0,0,0,0,0.0244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,3.131,1.174,2.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04492,0.2067,2.038,931.9,0,BWR,1.87,0,0,54.6
MON-1|MTB099|B1|S5,0,0,0,0,0,0,0,0,0,0,0,0,0.02296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.757,2.924,1.201,1.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06766,0.601,2.525,941.4,0,BWR,1.87,0,0,45.1
MON-1|MTB099|F6|S1,0,0,0,0,0,0,0,0,0,0,0,0,0.01824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.885,2.767,1.166,1.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09962,2.078,4.225,939.6,0,BWR,2.87,0,0,44.4
MON-1|MTB099|F6|S2,0,0,0,0,0,0,0,0,0,0,0,0,0.02192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.475,3.062,1.381,1.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09102,2.066,4.205,934.1,0,BWR,2.87,0,0,48.2
MON-1|MTB099|F6|S3,0,0,0,0,0,0,0,0,0,0,0,0,0.02607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.563,3.219,1.631,1.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09873,3.113,4.243,932.9,0,BWR,2.87,0,0,47
MON-1|MTB099|F6|S4,0,0,0,0,0,0,0,0,0,0,0,0,0.02877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.588,3.33,1.754,0.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1021,4.269,4.225,933.7,0,BWR,2.87,0,0,44.1
MON-1|MTB099|F6|S5,0,0,0,0,0,0,0,0,0,0,0,0,0.02074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.079,2.616,1.347,0.5041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1167,6.834,3.963,944.9,0,BWR,2.87,0,0,32.7
MON-1|MTB099|G3|S1,0,0,0,0,0,0,0,0,0,0,0,0,0.01705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.686,2.803,1.141,1.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1042,1.509,3.817,937.6,0,BWR,2.87,0,0,47.3
MON-1|MTB099|G3|S2,0,0,0,0,0,0,0,0,0,0,0,0,0.01921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.125,3.049,1.306,1.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09557,1.352,3.601,932.3,0,BWR,2.87,0,0,51.7
MON-1|MTB099|G3|S3,0,0,0,0,0,0,0,0,0,0,0,0,0.02449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.899,3.227,1.5,1.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09923,1.958,3.503,932.3,0,BWR,2.87,0,0,50
MON-1|MTB099|G3|S4,0,0,0,0,0,0,0,0,0,0,0,0,0.02653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.582,3.375,1.602,1.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0905,2.836,3.822,923.3,0,BWR,2.87,0,0,47.8
MON-1|MTB099|G3|S5,0,0,0,0,0,0,0,0,0,0,0,0,0.02198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.691,2.959,1.427,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1129,4.587,3.521,935.2,0,BWR,2.87,0,0,38.5
MON-1|MTB099|H1|S1,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.082,2.745,1.006,2.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04475,0.1304,2.42,937.5,0,BWR,1.87,0,0,51
MON-1|MTB099|H1|S2,0,0,0,0,0,0,0,0,0,0,0,0,0.019655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.276,2.796,1.09,2.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03665,0.09929,2.22,929.3,0,BWR,1.87,0,0,57.2
MON-1|MTB099|H1|S3,0,0,0,0,0,0,0,0,0,0,0,0,0.0232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.753,2.96,1.275,2.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04315,0.1876,2.449,927.9,0,BWR,1.87,0,0,58.7
MON-1|MTB099|H1|S4,0,0,0,0,0,0,0,0,0,0,0,0,0.02694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.115,3.061,1.403,2.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04274,0.2862,2.531,928.3,0,BWR,1.87,0,0,57.7
MON-1|MTB099|H1|S5,0,0,0,0,0,0,0,0,0,0,0,0,0.02538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.333,2.975,1.404,1.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05457,0.6946,2.409,939.3,0,BWR,1.87,0,0,46.7
MON-1|MTB099|H8|S1,0,0,0,0,0,0,0,0,0,0,0,0,0.01775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.365,3.203,1.311,2.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06157,0.3176,2.687,937.1,0,BWR,2.14,0,0,49.4
MON-1|MTB099|H8|S2,0,0,0,0,0,0,0,0,0,0,0,0,0.02218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.932,2.851,1.317,1.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05757,0.3772,2.908,932,0,BWR,2.14,0,0,53.8
MON-1|MTB099|H8|S3,0,0,0,0,0,0,0,0,0,0,0,0,0.02745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.694,3.022,1.56,1.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05811,0.6826,2.987,931.9,0,BWR,2.14,0,0,52.5
MON-1|MTB099|H8|S4,0,0,0,0,0,0,0,0,0,0,0,0,0.03122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.422,3.176,1.775,1.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06276,1.095,3.035,931.9,0,BWR,2.14,0,0,51.1
MON-1|MTB099|H8|S5,0,0,0,0,0,0,0,0,0,0,0,0,0.02742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.346,2.944,1.63,1.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07826,2.28,3.061,942.4,0,BWR,2.14,0,0,40.3
NEK-2|419|M11|M11,0.1067,0,0,0.5242,0,0.001564,0.2483,0,0,0,4.875e-4,0,4.323e-6,7.726e-4,0.1324,0.01324,0,0,0,1.352,0,0.5748,1.674,0,0,0,0.1919,0.02299,0.006162,0,0,0,0.01012,0,0,0,0,0,0,0,0,1.039,0,0,0,0,0.05206,1.069,2.252,0.9942,1.174,0.5951,0.2943,0.607,0.4507,0.1766,0,0,0,0,0.4277,5.757,3.21,1.294,1.169,0,0.5794,0.9657,0,0,0,0,0,0.298,0.2879,0.002382,0.4764,0.01426,0.147,0.06686,0,0,1.251,0,0,0,0.149,5.114,5.344,919.7,0,PWR,3.8,0,0,54
NOV-3|RP-3371A|58|4,0,0,0,0,0,0,0.0014,0,0,0,0,0,0,0,1.8e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127,4.07,0.79,0.33,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,2.6,959.1,0,VVER-440,3.3,0,0,13.4
NOV-3|RP-3371A|63|1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247,4.25,1.06,0.53,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,17.51,2.99,956.7,0,VVER-440,3.3,0,0,17.1
NOV-3|RP-3371A|63|5,0,0,0,0,0,0,0.0023,0,0,0,0,0,0,0,3.8e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187,4.42,0.89,0.427,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,2.83,958.2,0,VVER-440,3.3,0,0,13.9
NOV-3|RP-3371A|97|2,0,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,3.7e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205,4.55,0.91,0.43,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,19.8,2.72,957.2,0,VVER-440,3.3,0,0,14.2
NOV-3|RP-3371A|97|3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049,2.96,0.42,0.14,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.91,2.1,962.1,0,VVER-440,3.3,0,0,8.7
NOV-3|RP-3371A|97|6,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,1.9e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,3.9,0.67,0.289,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,2.36,960.4,0,VVER-440,3.3,0,0,11.7
NOV-3|RP-3371A|97|7,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,3.8e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221,4.85,0.97,0.48,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,19.59,2.68,956.4,0,VVER-440,3.3,0,0,11.5
NOV-4|13602496|123|27,0,0,0,0,0,0,0.158,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477,0,0.45,0,0,0,0,0,0,0.246,5.59,2.58,1.58,0.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,6.95,4.79,934.9,0,VVER-440,3.6,0,0,41.8
NOV-4|13602496|25|19,0,0,0,0,0,0,0.159,0,0,0,0,0,0,0,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498,0,0.43,0,0,0,0,0,0,0.256,5.58,2.55,1.61,0.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,6.48,4.83,934,0,VVER-440,3.6,0,0,43.5
NOV-4|13602496|30|20,0,0,0,0,0,0,0.115,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416,0,0,0,0,0,0,0,0,0.214,6.33,2.45,1.56,0.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,9.69,4.72,937.36,0,VVER-440,3.6,0,0,37.2
NOV-4|13602496|52|21,0,0,0,0,0,0,0.131,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228,6.46,2.52,1.64,0.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,9.1,4.69,938.4,0,VVER-440,3.6,0,0,37.2
NOV-4|13602496|66|22,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447,0,0,0,0,0,0,0,0,0.221,6.32,2.45,1.55,0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,9.27,4.67,937.33,0,VVER-440,3.6,0,0,39.2
NOV-4|13602496|69|23,0,0,0,0,0,0,0.141,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,5.89,2.59,1.68,0.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,6.4,4.73,933.41,0,VVER-440,3.6,0,0,44
NOV-4|13602496|7|18,0,0,0,0,0,0,0.137,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469,0,0.35,0,0,0,0,0,0,0.268,5.53,2.48,1.58,0.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,6.52,4.9,934.86,0,VVER-440,3.6,0,0,42.7
NOV-4|13602496|91|24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236,6.14,2.53,1.58,0.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,8.29,4.73,934.9,0,VVER-440,3.6,0,0,39.7
NOV-4|13602496|94|25,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0.239,5.83,2.63,1.56,0.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,7.75,4.9,935.47,0,VVER-440,3.6,0,0,39.4
NOV-4|13602496|98|26,0,0,0,0,0,0,0.105,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422,0,0.48,0,0,0,0,0,0,0.218,6.3,2.46,1.53,0.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,9.39,4.63,936.94,0,VVER-440,3.6,0,0,37.6
NOV-4|13626135|65|182,0.03,0,0,0.443,0,9.82e-4,0.024,0,0.832,0.764,0,0,0,0,0.0042,2.5e-4,2.1e-5,0,0,0.848,0.00108,0.389,0.64,0,0.00133,0,0.0199,0.0012,2.03e-4,0,0,0,7.5e-4,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0.00775,0.618,0.84,0.506,0.43,0.252,0.116,0.71,0.261,0.064,0,0,0,0,0.066,5.769,1.599,0.5,0.188,0,0,0.53,0,0,0,0,0,0.2543,0.0896,0.00309,0.2053,0.0102,0.0852,0.0233,0,0,0.55,0,0,0,0.135,16.06,4.06,947.5,0,VVER-440,3.592,0,0,22.86
NOV-4|13626135|65|21,0.054,0,0,0.803,0,0.001248,0.16,0,1.54,1.407,0,0,0,0,0.04494,0.00473,4.14e-4,0,0,1.328,0.00292,0.476,1.122,0,2e-4,0,0.0222,0.00188,2.62e-4,0,0,0,0.00134,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0.0294,0.965,1.677,0.898,0.821,0.473,0.228,1.43,0.529,0.147,0,0,0,0,0.22,6.741,2.885,1.02,0.778,0,0,0.98,0,0,0,0,0,0.2776,0.1932,0.00305,0.3399,0.0104,0.1148,0.0435,0,0,0.96,0,0,0,0.189,7.65,5.19,931.2,0,VVER-440,3.592,0,0,41.5
NOV-4|13626135|65|69,0.041,0,0,0.658,0,0.001096,0.07,0,1.149,1.053,0,0,0,0,0.0139,0.00131,1.32e-4,0,0,1.11,0.00172,0.46,0.883,0,5.93e-4,0,0.0222,0.00167,2.3e-4,0,0,0,0.001,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0.0131,0.797,1.21,0.692,0.608,0.354,0.166,1.03,0.364,0.099,0,0,0,0,0.129,6.408,2.164,0.76,0.413,0,0,0.73,0,0,0,0,0,0.263,0.1272,0.00306,0.2544,0.0103,0.096,0.0306,0,0,0.75,0,0,0,0.172,11.77,4.69,940.1,0,VVER-440,3.592,0,0,31.32
NOV-4|13626135|67|149,0.054,0,0,0.856,0,0.001457,0.19,0,1.558,1.423,0,0,0,0,0.05489,0.00378,4.5e-4,0,0,1.42,0.00238,0.488,1.202,0,6.42e-4,0,0.0214,0.00168,2.4e-4,0,0,0,0.0014,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0.0318,0.969,1.722,0.912,0.84,0.482,0.232,1.46,0.552,0.155,0,0,0,0,0.206,6.246,2.87,0.988,0.83,0,0,0.99,0,0,0,0,0,0.298,0.2103,0.00319,0.3686,0.0112,0.124,0.0472,0,0,0.96,0,0,0,0.189,6.989,5.29,932,0,VVER-440,3.585,0,0,41.9
NOV-4|13626135|68|162,0.055,0,0,0.825,0,0.00114,0.21,0,1.64,1.498,0,0,0,0,0.07464,0.00722,5.6e-4,0,0,1.471,0.00317,0.48,1.26,0,3.24e-4,0,0.0205,0.00156,1.91e-4,0,0,0,0.00143,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0.0339,0.981,1.811,0.937,0.874,0.499,0.241,1.49,0.59,0.171,0,0,0,0,0.253,6.019,2.93,0.99,0.928,0,0,1.04,0,0,0,0,0,0.2882,0.2208,0.00312,0.3777,0.0106,0.1237,0.049,0,0,1,0,0,0,0.188,6.12,5.37,930.5,0,VVER-440,3.585,0,0,44.2
