SAMPLEID,Ag109,Ag110m,Am0,Am241,Am242,Am242m,Am243,C14,Ce140,Ce142,Ce144,Cm0,Cm242,Cm243,Cm244,Cm245,Cm246,Cm247,Cs0,Cs133,Cs134,Cs135,Cs137,Eu0,Eu151,Eu152,Eu153,Eu154,Eu155,Gd0,Gd152,Gd154,Gd155,Gd156,Gd157,Gd158,Gd160,H3,I129,La139,Mo100,Mo95,Mo97,Mo98,Nb95,Nd0,Nd142,Nd143,Nd144,Nd145,Nd146,Nd148,Nd150,Np237,Pd105,Pd108,Pm147,Pr144,Pu0,Pu236,Pu238,Pu239,Pu240,Pu241,Pu242,Pu244,Rh103,Ru101,Ru103,Ru106,Sb125,Se79,Sm0,Sm147,Sm148,Sm149,Sm150,Sm151,Sm152,Sm154,Sn126,Sr90,Tc99,U0,U232,U233,U234,U235,U236,U238,Zr95,RTYPE,EU235,EPU,EPUFISS,EBUP
FDN-2|2F2D1|B3|TU103,0,0,0,0.05736,0,0,0.001505,0,0,0,0,0,0,1.33e-4,1.13e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1103,0,0,0,0,0,0,0,0,0.00984,4.732,0.7182,0.2656,0.01968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246,25.08,1.771,956.7,0,BWR,3.4,0,0,10
FDN-2|2F2D1|B3|TU104,0,0,0,0.06969,0,0,0.001841,0,0,0,0,0,1e-6,1.78e-4,2.51e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1035,0,0,0,0,0,0,0,0,0.01969,4.538,0.817,0.3248,0.03938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,23.3,1.998,958.8,0,BWR,3.4,0,0,9.4
FDN-2|2F2D1|B3|TU105,0,0,0,0.0682,0,0,0.001501,0,0,0,0,0,1e-6,6e-5,1.35e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1358,0,0,0,0,0,0,0,0,0.00981,4.553,0.942,0.3729,0.03925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,23.98,2.002,955,0,BWR,3.4,0,0,12.3
FDN-2|2F2D1|F6|TU101,0,0,0,0.05818,0,0,0.001695,0,0,0,0,0,0,4.5e-5,1.19e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1545,0,0,0,0,0,0,0,0,0.01959,4.761,0.7151,0.2743,0.02939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,33.25,2.566,943.4,0,BWR,4.5,0,0,14
FDN-2|2F2D1|F6|TU102,0,0,0,0.0682,0,0,0.00159,0,0,0,0,0,1e-6,9.3e-5,1.66e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2012,0,0,0,0,0,0,0,0,0.01951,4.039,0.8781,0.3025,0.03903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341,27.62,2.956,944.7,0,BWR,4.5,0,0,18.2
FDN-2|2F2D1|F6|TU106,0,0,0,0.09954,0,0,0.001776,0,0,0,0,0,1e-6,1.44e-4,4.47e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1774,0,0,0,0,0,0,0,0,0.02928,5.631,1.0247,0.4587,0.05855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312,29.32,3.064,943.2,0,BWR,4.5,0,0,16.1
FDN-2|2F2D2|B3|TU203,0,0,0,0.15529,0,0,0.01958,0,0,0,0,0,6.6e-5,8.58e-4,0.00651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2692,0,0,0,0,0,0,0,0,0.08681,6.491,1.9966,1.0031,0.22184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193,15.47,3.443,945.4,0,BWR,3.4,0,0,24.5
FDN-2|2F2D2|B3|TU204,0,0,0,0.17284,0,0,0.033988,0,0,0,0,0,7.2e-5,0.001168,0.008507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2585,0,0,0,0,0,0,0,0,0.096560000000000007,6.296,2.076,0.9849,0.2607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,14.32,3.418,947.6,0,BWR,3.4,0,0,23.5
FDN-2|2F2D2|B3|TU205,0,0,0,0.12501,0,0,0.022772,0,0,0,0,0,5.1e-5,3.68e-4,0.004496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2512,0,0,0,0,0,0,0,0,0.06783,4.186,1.8024,0.7074,0.25195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,12.36,3.566,952.9,0,BWR,3.4,0,0,22.8
FDN-2|2F2D2|F6|TU201,0,0,0,0.14976,0,0,0.012384,0,0,0,0,0,6.3e-5,3.46e-4,0.006067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3208,0,0,0,0,0,0,0,0,0.1056,6.432,1.8528,0.9984,0.1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,20.53,4.493,934.7,0,BWR,4.5,0,0,29.1
